;empresa_nome;receita_milhao;cidade;uf;empresa_href;descricao;industria
861;F L Industria E Comercio De Cafe Ltda;0.43;Pedralva;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.f_l_industria_e_comercio_de_cafe_ltda.46ddbd021a24e3444181a262cdd6c71f.html;F L INDUSTRIA E COMERCIO DE CAFE LTDA is located in PEDRALVA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
862;J Luiz Dos Santos & Cia. Ltda;0.43;Guairaca;Parana;https://www.dnb.com/business-directory/company-profiles.j_luiz_dos_santos__cia_ltda.ba8c92f35bae0cac05a1c4d98e8f005e.html;J LUIZ DOS SANTOS & CIA. LTDA is located in GUAIRACA, PARANA, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
863;Leila R Santos;0.43;Ananindeua;Para;https://www.dnb.com/business-directory/company-profiles.leila_r_santos.673fd768c5ebb349fc10e7b19f8921c6.html;LEILA R SANTOS is located in ANANINDEUA, PARA, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
864;Aroma De Minas Alimentos Ltda;0.43;Capelinha;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.aroma_de_minas_alimentos_ltda.4661a626ae8a528b98626130903beb54.html;AROMA DE MINAS ALIMENTOS LTDA is located in CAPELINHA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
865;Torrefacao Daisuki Coffee Ltda;0.43;Varginha;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.torrefacao_daisuki_coffee_ltda.8ed4fa63ce50d152f992058fda29406b.html;TORREFACAO DAISUKI COFFEE LTDA is located in VARGINHA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
866;P2F Do Brasil Industria E Comercio De Cafe Ltda;0.43;Espirito Santo Do Pinhal;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.p2f_do_brasil_industria_e_comercio_de_cafe_ltda.3ea5c1ca67c10211ba3cbfc932900397.html;P2F DO BRASIL INDUSTRIA E COMERCIO DE CAFE LTDA is located in ESPIRITO SANTO DO PINHAL, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
867;Industria E Comercio Cafe Dourado Ltda;0.43;Sao Sebastiao Do Paraiso;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.industria_e_comercio_cafe_dourado_ltda.a0ef150807eb947cd2ffb166a934b572.html;INDUSTRIA E COMERCIO CAFE DOURADO LTDA is located in SAO SEBASTIAO DO PARAISO, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
868;Industria E Comercio De Cafe Canada Ltda;0.43;Paracatu;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.industria_e_comercio_de_cafe_canada_ltda.25fe6a5ec96152d864576475bc3ebf97.html;INDUSTRIA E COMERCIO DE CAFE CANADA LTDA is located in PARACATU, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
869;Geocoffee Exportacao Ltda;0.43;Patrocinio;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.geocoffee_exportacao_ltda.10ec058ecb9f541dd091b8a70706f68e.html;GEOCOFFEE EXPORTACAO LTDA is located in PATROCINIO, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
870;Irmaos Padua De Marilia Ltda;0.43;Marilia;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.irmaos_padua_de_marilia_ltda.db7a48a22a418ba9317830e73bec69e7.html;IRMAOS PADUA DE MARILIA LTDA is located in MARILIA, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
871;Jose Gonzaga Guimaraes De Oliveira;0.43;Mar De Espanha;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.jose_gonzaga_guimaraes_de_oliveira.d303f4fdb7eafab1edbae3f61874e390.html;JOSE GONZAGA GUIMARAES DE OLIVEIRA is located in MAR DE ESPANHA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
872;Marcio Tiola Alves;0.43;Caratinga;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.marcio_tiola_alves.c90eea4ac64578c41b3935ddc5c118c6.html;MARCIO TIOLA ALVES is located in CARATINGA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
873;Transportes E Locacoes Farroupilha Eireli;0.43;Patos De Minas;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.transportes_e_locacoes_farroupilha_eireli.bff749ca5e6ee9da3e57a91380c6d9ac.html;TRANSPORTES E LOCACOES FARROUPILHA EIRELI is located in PATOS DE MINAS, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
874;Awl Industria E Comercio De Torrefacao De Cafe Ltda;0.43;Barra Do Choca;Bahia;https://www.dnb.com/business-directory/company-profiles.awl_industria_e_comercio_de_torrefacao_de_cafe_ltda.29f3029c4654332cb8c1911d21627d12.html;AWL INDUSTRIA E COMERCIO DE TORREFACAO DE CAFE LTDA is located in BARRA DO CHOCA, BAHIA, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
875;Berol Ind Comercio E Exportacao Ltda;0.43;Salvador;Bahia;https://www.dnb.com/business-directory/company-profiles.berol_ind_comercio_e_exportacao_ltda.eb0198a547638a62ea31671c52a95c59.html;BEROL IND COMERCIO E EXPORTACAO LTDA is located in SALVADOR, BAHIA, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
876;Torrefacao E Moagem De Cafe Bueno Brandao Ltda;0.43;Bueno Brandao;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.torrefacao_e_moagem_de_cafe_bueno_brandao_ltda.ff3fe8816c5cb3dfb8d0a6c89676df3b.html;TORREFACAO E MOAGEM DE CAFE BUENO BRANDAO LTDA is located in BUENO BRANDAO, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
