;empresa_nome;receita_milhao;cidade;uf;empresa_href;descricao;industria
0;Tres Coracoes Alimentos S/A;677.42;Eusebio;Ceara;https://www.dnb.com/business-directory/company-profiles.tres_coracoes_alimentos_s-a.b2294d60d2c3f9c5f520b6db82fa0791.html;Tres Coracoes Alimentos S/A is located in EUSEBIO, CEARA, Brazil and is part of the Coffee & Tea Manufacturing Industry. Tres Coracoes Alimentos S/A has 4,000 employees at this location and generates $623.50 million in sales (USD). There are 43 companies in the Tres Coracoes Alimentos S/A corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
1;Cafe Tres Coracoes S/A;271.06;Santa Luzia;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.cafe_tres_coracoes_s-a.fb90ecf8e77b2932a813ac9e9d4774cf.html;Cafe Tres Coracoes S/A is located in SANTA LUZIA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. Cafe Tres Coracoes S/A has 5,000 employees at this location and generates $271.06 million in sales (USD). There are 43 companies in the Cafe Tres Coracoes S/A corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
2;Cooperativa Dos Cafeicultores Da Zona De Tres Pontas Ltda;207.52;Três Pontas;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.cooperativa_dos_cafeicultores_da_zona_de_tres_pontas_ltda.640efe994e7297c9694b67b6004674ed.html;COOPERATIVA DOS CAFEICULTORES DA ZONA DE TRES PONTAS LTDA is located in Três Pontas, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. COOPERATIVA DOS CAFEICULTORES DA ZONA DE TRES PONTAS LTDA has 524 employees at this location and generates $207.52 million in sales (USD). There are 39 companies in the COOPERATIVA DOS CAFEICULTORES DA ZONA DE TRES PONTAS LTDA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
3;Companhia Cacique De Café Solúvel;198.58;Londrina;Parana;https://www.dnb.com/business-directory/company-profiles.companhia_cacique_de_caf%C3%A9_sol%C3%BAvel.00372e6a2ba5c264f860c0705ae1caf8.html;Companhia Cacique de Café Solúvel is located in Londrina, PARANA, Brazil and is part of the Coffee & Tea Manufacturing Industry. Companhia Cacique de Café Solúvel has 1,259 employees at this location and generates $198.58 million in sales (USD). There are 8 companies in the Companhia Cacique de Café Solúvel corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
4;Cia Iguacu De Cafe Soluvel;138.02;Cornelio Procopio;Parana;https://www.dnb.com/business-directory/company-profiles.cia_iguacu_de_cafe_soluvel.6b1de29dd65e93871d33b6cff739cd80.html;Cia Iguacu de Cafe Soluvel is located in CORNELIO PROCOPIO, PARANA, Brazil and is part of the Coffee & Tea Manufacturing Industry. Cia Iguacu de Cafe Soluvel has 720 employees at this location and generates $138.02 million in sales (USD). There are 7 companies in the Cia Iguacu de Cafe Soluvel corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
5;Cocam Cia De Cafe Soluvel E Derivados;89.63;Catanduva;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.cocam_cia_de_cafe_soluvel_e_derivados.2adca1c04a12df4a73ea1ef2e0f9b7d7.html;Cocam Cia de Cafe Soluvel e Derivados is located in CATANDUVA, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Cocam Cia de Cafe Soluvel e Derivados has 400 employees at this location and generates $89.63 million in sales (USD). There are 6 companies in the Cocam Cia de Cafe Soluvel e Derivados corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
6;Realcafe Soluvel Do Brasil S/A;75.12;Viana;Espirito Santo;https://www.dnb.com/business-directory/company-profiles.realcafe_soluvel_do_brasil_s-a.8828678e54eb3996f53232d05d3e27dd.html;Realcafe Soluvel do Brasil S/A is located in VIANA, ESPIRITO SANTO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Realcafe Soluvel do Brasil S/A has 380 employees at this location and generates $75.12 million in sales (USD). There are 2 companies in the Realcafe Soluvel do Brasil S/A corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee; Groceries and related products, nec"
7;Jacobs Douwe Egberts Br Comercializacao De Cafes Ltda;70.47;Barueri;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.jacobs_douwe_egberts_br_comercializacao_de_cafes_ltda.4286f950751b4f49a7d1f43bd7286b31.html;Jacobs Douwe Egberts Br Comercializacao de Cafes Ltda is located in BARUERI, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Jacobs Douwe Egberts Br Comercializacao de Cafes Ltda has 1,300 employees at this location. There are 13 companies in the Jacobs Douwe Egberts Br Comercializacao de Cafes Ltda corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
8;Industrias Alimentícias Maratá Ltda;69.44;Itaporanga D'ajuda;Sergipe;https://www.dnb.com/business-directory/company-profiles.industrias_aliment%C3%ADcias_marat%C3%A1_ltda.d606daa18c9b7beb38b220646f1a6b48.html;Industrias Alimentícias Maratá Ltda is located in Itaporanga D'Ajuda, SERGIPE, Brazil and is part of the Coffee & Tea Manufacturing Industry. Industrias Alimentícias Maratá Ltda has 1,281 employees at this location. There are 12 companies in the Industrias Alimentícias Maratá Ltda corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
9;Batel Industria E Comercio De Alimentos S.A.;54.82;Curitiba;Parana;https://www.dnb.com/business-directory/company-profiles.batel_industria_e_comercio_de_alimentos_sa.9839aaacd71abbb50d784c172b7b0a0e.html;BATEL INDUSTRIA E COMERCIO DE ALIMENTOS S.A. is located in CURITIBA, PARANA, Brazil and is part of the Coffee & Tea Manufacturing Industry. BATEL INDUSTRIA E COMERCIO DE ALIMENTOS S.A. has 300 employees at this location and generates $54.82 million in sales (USD). There are 11 companies in the BATEL INDUSTRIA E COMERCIO DE ALIMENTOS S.A. corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee; Roasted coffee"
10;Cafe Bom Dia Ltda;46.43;Varginha;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.cafe_bom_dia_ltda.28305ca1d7a1c15e759e36ed12497297.html;CAFE BOM DIA LTDA is located in VARGINHA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. CAFE BOM DIA LTDA has 250 employees at this location and generates $46.43 million in sales (USD). There are 3 companies in the CAFE BOM DIA LTDA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
11;Ipanema Comercial E Exportadora Sa;25.59;Alfenas;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.ipanema_comercial_e_exportadora_sa.c4b2ec805982ddd120ae0b8c52a68cb3.html;IPANEMA COMERCIAL E EXPORTADORA SA is located in ALFENAS, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. IPANEMA COMERCIAL E EXPORTADORA SA has 8 employees at this location and generates $25.59 million in sales (USD). There are 3 companies in the IPANEMA COMERCIAL E EXPORTADORA SA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
12;Moinho Petinho Indústria E Comércio Ltda;25.13;Recife;Pernambuco;https://www.dnb.com/business-directory/company-profiles.moinho_petinho_ind%C3%BAstria_e_com%C3%A9rcio_ltda.e6ec3eb82d1ba20addd7ce7b549b7999.html;Moinho Petinho Indústria e Comércio Ltda is located in Recife, PERNAMBUCO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Moinho Petinho Indústria e Comércio Ltda has 406 employees at this location and generates $25.13 million in sales (USD). There are 2 companies in the Moinho Petinho Indústria e Comércio Ltda corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
13;Cafe Utam S/A;19.43;Ribeirao Preto;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.cafe_utam_s-a.b0c4bc1d8cbe8fb6dff755ad68f82336.html;Cafe Utam S/A is located in Ribeirao Preto, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Cafe Utam S/A has 120 employees at this location and generates $19.43 million in sales (USD). There are 2 companies in the Cafe Utam S/A corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee; Roasted coffee"
14;Moageira Serra Grande Eireli;18.76;Sobral;Ceara;https://www.dnb.com/business-directory/company-profiles.moageira_serra_grande_eireli.598d496b74ace80d668a40df66ca6b53.html;MOAGEIRA SERRA GRANDE EIRELI is located in SOBRAL, CEARA, Brazil and is part of the Coffee & Tea Manufacturing Industry. MOAGEIRA SERRA GRANDE EIRELI has 346 employees at this location. There are 13 companies in the MOAGEIRA SERRA GRANDE EIRELI corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
15;Veloso E Tavares Industria De Alimentos Sa;15.56;Contagem;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.veloso_e_tavares_industria_de_alimentos_sa.6fbc2d34f066b8dca73bbab419bc376f.html;VELOSO E TAVARES INDUSTRIA DE ALIMENTOS SA is located in CONTAGEM, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. VELOSO E TAVARES INDUSTRIA DE ALIMENTOS SA has 287 employees at this location and generates $15.56 million in sales (USD).;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
16;Cooperativa De Cafeicultores E Agropecuaristas;13.55;Franca;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.cooperativa_de_cafeicultores_e_agropecuaristas.0a3e01e0fa9bbad1c79b5ba5e84b6d12.html;Cooperativa de Cafeicultores e Agropecuaristas is located in Franca, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Cooperativa de Cafeicultores e Agropecuaristas has 250 employees at this location and generates $13.55 million in sales (USD). There are 12 companies in the Cooperativa de Cafeicultores e Agropecuaristas corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
17;Sociedade Mogyana Exportadora Ltda;13.55;Piumhi;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.sociedade_mogyana_exportadora_ltda.44ed30219310227954782526cf6f17ad.html;Sociedade Mogyana Exportadora Ltda is located in Piumhi, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. Sociedade Mogyana Exportadora Ltda has 250 employees at this location.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee; Groceries and related products, nec"
18;Segafredo Zanetti (Brasil). Comercialização E Distribuição De Café S/A;13.55;Contagem;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.segafredo_zanetti_(brasil)_comercializa%C3%A7%C3%A3o_e_distribui%C3%A7%C3%A3o_de_caf%C3%A9_s-a.0b33491819fe6dda71d2aebde59b7394.html;Segafredo Zanetti (Brasil). Comercialização e Distribuição de Café S/A is located in Contagem, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. Segafredo Zanetti (Brasil). Comercialização e Distribuição de Café S/A has 250 employees at this location and generates $13.55 million in sales (USD). There are 3 companies in the Segafredo Zanetti (Brasil). Comercialização e Distribuição de Café S/A corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
19;Três Marias Exportação, Importação Ltda;13.09;São Paulo;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.tr%C3%AAs_marias_exporta%C3%A7%C3%A3o_importa%C3%A7%C3%A3o_ltda.852858139b0617058d241c8074697d85.html;Três Marias Exportação, Importação Ltda is located in São Paulo, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Três Marias Exportação, Importação Ltda has 85 employees at this location and generates $13.09 million in sales (USD). There are 2 companies in the Três Marias Exportação, Importação Ltda corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
20;Cafe Do Sitio Industria E Comercio Ltda;12.85;Brasilia;Distrito Federal;https://www.dnb.com/business-directory/company-profiles.cafe_do_sitio_industria_e_comercio_ltda.d6490375f24372de175a98525cb7a592.html;CAFE DO SITIO INDUSTRIA E COMERCIO LTDA is located in BRASILIA, DISTRITO FEDERAL, Brazil and is part of the Coffee & Tea Manufacturing Industry. CAFE DO SITIO INDUSTRIA E COMERCIO LTDA has 237 employees at this location. There are 4 companies in the CAFE DO SITIO INDUSTRIA E COMERCIO LTDA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee; Roasted coffee"
21;Café Rancheiro Agro Industrial Ltda;11.38;Anápolis;Goias;https://www.dnb.com/business-directory/company-profiles.caf%C3%A9_rancheiro_agro_industrial_ltda.835fd54ae91276239fc1f6af9dce83c5.html;Café Rancheiro Agro Industrial Ltda is located in Anápolis, GOIAS, Brazil and is part of the Coffee & Tea Manufacturing Industry. Café Rancheiro Agro Industrial Ltda has 210 employees at this location. There are 8 companies in the Café Rancheiro Agro Industrial Ltda corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee; Food preparations, nec"
22;Companhia Mogi De Cafe Soluvel;11.18;Sao Paulo;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.companhia_mogi_de_cafe_soluvel.b6855ac365424f06eaa4efa99a0d8fb3.html;COMPANHIA MOGI DE CAFE SOLUVEL is located in SAO PAULO, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. COMPANHIA MOGI DE CAFE SOLUVEL has 150 employees at this location and generates $11.18 million in sales (USD).;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee; Roasted coffee"
23;Cafe Favorito Sa;11.08;Volta Redonda;Rio De Janeiro;https://www.dnb.com/business-directory/company-profiles.cafe_favorito_sa.61d46fb57a5e235185c08ece9c2e044d.html;CAFE FAVORITO SA is located in VOLTA REDONDA, RIO DE JANEIRO, Brazil and is part of the Coffee & Tea Manufacturing Industry. CAFE FAVORITO SA has 117 employees at this location and generates $11.08 million in sales (USD). There are 2 companies in the CAFE FAVORITO SA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
24;Cirol Royal Sa;10.49;Recife;Pernambuco;https://www.dnb.com/business-directory/company-profiles.cirol_royal_sa.3c7d078da33b1d86e1a5108e6eb99f1d.html;CIROL ROYAL SA is located in RECIFE, PERNAMBUCO, Brazil and is part of the Coffee & Tea Manufacturing Industry. CIROL ROYAL SA has 335 employees at this location and generates $10.49 million in sales (USD). There are 4 companies in the CIROL ROYAL SA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee; Roasted coffee; Macaroni and spaghetti"
25;Café Fazenda Sertãozinho Ltda;9.76;Botelhos;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.caf%C3%A9_fazenda_sert%C3%A3ozinho_ltda.29c1a68b777537c5ca4fb033e586e200.html;Café Fazenda Sertãozinho Ltda is located in BOTELHOS, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. Café Fazenda Sertãozinho Ltda has 180 employees at this location. There are 6 companies in the Café Fazenda Sertãozinho Ltda corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
26;3Caffi Industria E Comercio De Capsulas S/A;8.72;Montes Claros;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.3caffi_industria_e_comercio_de_capsulas_s-a.ec8be47be0491eb7bdb031a6e6cde4c1.html;3Caffi Industria e Comercio de Capsulas S/A is located in MONTES CLAROS, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. 3Caffi Industria e Comercio de Capsulas S/A has 6,000 employees at this location and generates $8.72 million in sales (USD).;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
27;Socan Produtos Alimenticios Ltda;7.81;Rio De Janeiro;Rio De Janeiro;https://www.dnb.com/business-directory/company-profiles.socan_produtos_alimenticios_ltda.c067ca96010b5e66aa13b1082bff26a3.html;SOCAN PRODUTOS ALIMENTICIOS LTDA is located in RIO DE JANEIRO, RIO DE JANEIRO, Brazil and is part of the Coffee & Tea Manufacturing Industry. SOCAN PRODUTOS ALIMENTICIOS LTDA has 178 employees at this location and generates $7.81 million in sales (USD).;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
28;Armazens Gerais Leste De Minas Ltda;7.74;Manhuacu;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.armazens_gerais_leste_de_minas_ltda.1175162173702bfe1d47fc3d872f7274.html;Armazens Gerais Leste de Minas Ltda is located in MANHUACU, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. Armazens Gerais Leste de Minas Ltda has 62 employees at this location and generates $7.74 million in sales (USD). There are 5 companies in the Armazens Gerais Leste de Minas Ltda corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee; Roasted coffee; Special warehousing and storage, nec"
29;Torrefacoes Noivacolinenses Ltda;7.52;Piracicaba;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.torrefacoes_noivacolinenses_ltda.ad272851ba349dc735a160d7b5becd6d.html;TORREFACOES NOIVACOLINENSES LTDA is located in PIRACICABA, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. TORREFACOES NOIVACOLINENSES LTDA has 72 employees at this location and generates $7.52 million in sales (USD). There are 3 companies in the TORREFACOES NOIVACOLINENSES LTDA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
30;Geskan Industria E Comercio Ltda;7.48;Rio De Janeiro;Rio De Janeiro;https://www.dnb.com/business-directory/company-profiles.geskan_industria_e_comercio_ltda.6f3651680b25561a664c657cf52154a6.html;GESKAN INDUSTRIA E COMERCIO LTDA is located in RIO DE JANEIRO, RIO DE JANEIRO, Brazil and is part of the Coffee & Tea Manufacturing Industry. GESKAN INDUSTRIA E COMERCIO LTDA has 138 employees at this location.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
31;Cafe Meridiano Ind. E Com. Ltda;7.1;Colatina;Espirito Santo;https://www.dnb.com/business-directory/company-profiles.cafe_meridiano_ind_e_com_ltda.f9d2224e95d4106886d9eb8a7daead00.html;CAFE MERIDIANO IND. E COM. LTDA is located in COLATINA, ESPIRITO SANTO, Brazil and is part of the Coffee & Tea Manufacturing Industry. CAFE MERIDIANO IND. E COM. LTDA has 131 employees at this location. There are 4 companies in the CAFE MERIDIANO IND. E COM. LTDA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
32;Cafe Export Industria E Comercio Ltda;7.05;Brasilia;Distrito Federal;https://www.dnb.com/business-directory/company-profiles.cafe_export_industria_e_comercio_ltda.8a209e74a4fc87786bb8a6449ff3f856.html;CAFE EXPORT INDUSTRIA E COMERCIO LTDA is located in BRASILIA, DISTRITO FEDERAL, Brazil and is part of the Coffee & Tea Manufacturing Industry. CAFE EXPORT INDUSTRIA E COMERCIO LTDA has 130 employees at this location. There are 2 companies in the CAFE EXPORT INDUSTRIA E COMERCIO LTDA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
33;Produtos Alimenticios Ribamar Cunha Ltda;5.64;Imperatriz;Maranhao;https://www.dnb.com/business-directory/company-profiles.produtos_alimenticios_ribamar_cunha_ltda.6a6018a0690815484055d754d5d22510.html;PRODUTOS ALIMENTICIOS RIBAMAR CUNHA LTDA is located in IMPERATRIZ, MARANHAO, Brazil and is part of the Coffee & Tea Manufacturing Industry. PRODUTOS ALIMENTICIOS RIBAMAR CUNHA LTDA has 104 employees at this location. There are 5 companies in the PRODUTOS ALIMENTICIOS RIBAMAR CUNHA LTDA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
34;Amaro Salles Cordeiro Eireli;5.42;Cordeiro;Rio De Janeiro;https://www.dnb.com/business-directory/company-profiles.amaro_salles_cordeiro_eireli.c3a0a015a8e42f4039be616868ca028e.html;AMARO SALLES CORDEIRO EIRELI is located in CORDEIRO, RIO DE JANEIRO, Brazil and is part of the Coffee & Tea Manufacturing Industry. AMARO SALLES CORDEIRO EIRELI has 100 employees at this location. There are 3 companies in the AMARO SALLES CORDEIRO EIRELI corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
35;Industria Brunelli Ltda;4.99;Ituiutaba;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.industria_brunelli_ltda.32192f0205165300305a048626be80bc.html;INDUSTRIA BRUNELLI LTDA is located in ITUIUTABA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. INDUSTRIA BRUNELLI LTDA has 92 employees at this location.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
36;Cafe Canecao Ltda;4.45;Campinas;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.cafe_canecao_ltda.14b05b5321500641d33cb930eacfab34.html;CAFE CANECAO LTDA is located in CAMPINAS, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. CAFE CANECAO LTDA has 82 employees at this location. There are 4 companies in the CAFE CANECAO LTDA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
37;Industria De Produtos Alimenticios Cupido Ltda;4.34;Garanhuns;Pernambuco;https://www.dnb.com/business-directory/company-profiles.industria_de_produtos_alimenticios_cupido_ltda.d3d311d240fbb40fcecac0f2596130a0.html;INDUSTRIA DE PRODUTOS ALIMENTICIOS CUPIDO LTDA is located in GARANHUNS, PERNAMBUCO, Brazil and is part of the Coffee & Tea Manufacturing Industry. INDUSTRIA DE PRODUTOS ALIMENTICIOS CUPIDO LTDA has 80 employees at this location.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
38;Jardim Industria E Comercio S/A;4.28;Sao Paulo;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.jardim_industria_e_comercio_s-a.c6bc8af2e5e7fa39d752f746945f914e.html;JARDIM INDUSTRIA E COMERCIO S/A is located in SAO PAULO, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. JARDIM INDUSTRIA E COMERCIO S/A has 110 employees at this location and generates $4.28 million in sales (USD). There are 4 companies in the JARDIM INDUSTRIA E COMERCIO S/A corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
39;Cimo Alimentos Comercio & Exportacao Ltda;3.9;Sao Jose Do Rio Preto;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.cimo_alimentos_comercio__exportacao_ltda.d676120a356384695961238434536561.html;CIMO ALIMENTOS COMERCIO & EXPORTACAO LTDA is located in SAO JOSE DO RIO PRETO, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. CIMO ALIMENTOS COMERCIO & EXPORTACAO LTDA has 72 employees at this location.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
40;Cafe Itau Ltda;3.9;Perdoes;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.cafe_itau_ltda.103eafdddabec37cadc3007192d641c1.html;CAFE ITAU LTDA is located in PERDOES, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. CAFE ITAU LTDA has 72 employees at this location.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
41;Blendcoffee Comércio Exportação E Importação Ltda;3.79;Linhares;Espirito Santo;https://www.dnb.com/business-directory/company-profiles.blendcoffee_com%C3%A9rcio_exporta%C3%A7%C3%A3o_e_importa%C3%A7%C3%A3o_ltda.8ffcd90d8498d508b3a5f3ac15b2eb0f.html;Blendcoffee Comércio Exportação e Importação Ltda is located in Linhares, ESPIRITO SANTO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Blendcoffee Comércio Exportação e Importação Ltda has 70 employees at this location. There are 9 companies in the Blendcoffee Comércio Exportação e Importação Ltda corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
42;Cafe Pacaembu Ltda;3.79;Vargem Grande Do Sul;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.cafe_pacaembu_ltda.779bfae161e8e33bd0d978a8744b459d.html;CAFE PACAEMBU LTDA is located in VARGEM GRANDE DO SUL, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. CAFE PACAEMBU LTDA has 70 employees at this location. There are 2 companies in the CAFE PACAEMBU LTDA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
43;Cafe Piraquara Ltda;3.69;Guaratingueta;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.cafe_piraquara_ltda.ca558c3a4613e56288890f54f4ccef3b.html;CAFE PIRAQUARA LTDA is located in GUARATINGUETA, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. CAFE PIRAQUARA LTDA has 68 employees at this location.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
44;Indústria De Produtos Alimentícios Cassiano Ltda;3.64;Americana;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.ind%C3%BAstria_de_produtos_aliment%C3%ADcios_cassiano_ltda.e143c1926971fcdf837a116eba413f02.html;Indústria de Produtos Alimentícios Cassiano Ltda is located in Americana, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. Indústria de Produtos Alimentícios Cassiano Ltda has 30 employees at this location and generates $3.64 million in sales (USD). There are 3 companies in the Indústria de Produtos Alimentícios Cassiano Ltda corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
45;Cafe Dom Pedro Ltda;3.58;Santa Luzia;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.cafe_dom_pedro_ltda.a7301078b56b3f84d9b20befeaba41c6.html;CAFE DOM PEDRO LTDA is located in SANTA LUZIA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. CAFE DOM PEDRO LTDA has 66 employees at this location.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
46;Telmar Industria E Comercio Ltda;3.52;Ji-parana;Rondonia;https://www.dnb.com/business-directory/company-profiles.telmar_industria_e_comercio_ltda.a882f24c70f287bb584cbbff110256a1.html;TELMAR INDUSTRIA E COMERCIO LTDA is located in JI-PARANA, RONDONIA, Brazil and is part of the Coffee & Tea Manufacturing Industry. TELMAR INDUSTRIA E COMERCIO LTDA has 65 employees at this location. There are 3 companies in the TELMAR INDUSTRIA E COMERCIO LTDA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
47;Catuay Do Brasil Industria E Comercio De Cafe Ltda;3.47;Aracatuba;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.catuay_do_brasil_industria_e_comercio_de_cafe_ltda.605c6646ee1e09997ae97da6e43693d7.html;CATUAY DO BRASIL INDUSTRIA E COMERCIO DE CAFE LTDA is located in ARACATUBA, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry. CATUAY DO BRASIL INDUSTRIA E COMERCIO DE CAFE LTDA has 64 employees at this location. There are 3 companies in the CATUAY DO BRASIL INDUSTRIA E COMERCIO DE CAFE LTDA corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
48;Dicasa Industria E Comercio De Alimentos Ltda;3.47;Aparecida De Goiania;Goias;https://www.dnb.com/business-directory/company-profiles.dicasa_industria_e_comercio_de_alimentos_ltda.586ad757b774ff11a79558cc5beb83f9.html;Dicasa Industria e Comercio de Alimentos Ltda is located in APARECIDA DE GOIANIA, GOIAS, Brazil and is part of the Coffee & Tea Manufacturing Industry. Dicasa Industria e Comercio de Alimentos Ltda has 64 employees at this location. There are 3 companies in the Dicasa Industria e Comercio de Alimentos Ltda corporate family.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
